Name,Position,Points,Proptype
Mads Hermansen,Leicester - Goalkeeper,2.5,Goalie Saves
Wout Faes,Leicester - Defender,81.5,Passes Attempted
Harry Kane + Kylian Mbappé,Bayern München/PSG - Attacker/Attacker,6.5,Shots (Combo)
Dayot Upamecano + Konrad Laimer,Bayern München - Defender/Midfielder,103.5,Passes Attempted (Combo)
Harry Kane + Kylian Mbappé,Bayern München/PSG - Attacker/Attacker,2.5,Shots On Target (Combo)
Wout Faes,Leicester - Defender,0.5,Shots
Kylian Mbappé,PSG - Attacker,0.5,Goals
Kiernan Dewsbury-Hall,Leicester - Midfielder,0.5,Shots On Target
Harry Winks,Leicester - Midfielder,0.5,Interceptions
Jan Oblak + Gregor Kobel,Atlético/Dortmund - GK,6.0,Goalie Saves (Combo)
Jamie Vardy,Leicester - Attacker,0.5,Goal + Assist
Kiernan Dewsbury-Hall,Leicester - Midfielder,2.0,Shots Assisted
Jake Cooper,Millwall - Defender,4.5,Clearances
George Honeyman,Millwall - Midfielder,2.5,Tackles
Kiernan Dewsbury-Hall,Leicester - Midfielder,1.5,Fouls Drawn
George Saville,Millwall - Midfielder,1.5,Fouls
